income_declared,work_expense_claim,travel_expense_claim,education_expense,other_deductions,total_deductions,deduction_income_ratio,prior_year_income_delta,prior_year_deduction_delta,refund_requested,filing_method,industry_code,num_dependents,fraud_label
73900,7230,2110,3990,2190,15520,0.21,0.1984,0.0172,7170,self,hospitality,0,0
45000,5180,620,2280,1320,9400,0.2089,0.0181,-0.1499,2210,self,retail,3,0
92700,7160,1560,3740,2060,14520,0.1566,-0.0278,-0.1344,1910,self,hospitality,2,0
79100,24230,2500,1120,1120,28970,0.3662,0.1502,-0.2046,11520,self,transport,0,0
63800,15040,2330,3680,720,21770,0.3412,0.1701,0.1752,8470,tax_agent,construction,4,0
97100,12570,3780,2930,350,19630,0.2022,0.0416,-0.142,6570,tax_agent,manufacturing,1,0
26600,7140,2520,710,1220,11590,0.4357,0.0231,0.0584,1990,tax_agent,transport,2,0
53500,2920,260,310,2060,5550,0.1037,-0.0383,-0.0094,2770,self,hospitality,1,0
44400,14560,6400,2760,600,24320,0.5477,0.0036,0.6295,4720,self,healthcare,1,1
47000,5540,1230,210,360,7340,0.1562,0.0728,-0.0322,2890,self,finance,2,0
66200,20840,6960,4180,190,32170,0.486,0.0915,0.8729,12110,self,retail,0,1
43600,12960,1780,1690,1250,17680,0.4055,0.0039,0.1739,3770,tax_agent,real_estate,1,0
181100,35390,5880,1260,5960,48490,0.2678,0.0313,0.0159,19850,self,IT,1,0
92300,5340,2900,1480,2450,12170,0.1319,0.0538,0.2782,6350,self,hospitality,4,0
46500,5230,460,2400,250,8340,0.1794,-0.0579,0.1088,2270,self,finance,0,0
27600,3230,1020,270,120,4640,0.1681,0.2202,0.0438,550,tax_agent,education,1,0
22923,4860,880,1290,10,7040,0.3071,0.0332,-0.1244,1170,tax_agent,IT,0,1
60100,10120,4220,1530,2410,18280,0.3042,0.0646,0.0653,4980,tax_agent,construction,3,0
50800,2960,830,2150,260,6200,0.122,0.0985,-0.0132,1830,tax_agent,hospitality,4,0
291500,77700,11100,7380,7430,103610,0.3554,0.0107,-0.1697,51660,self,IT,3,0
29000,5470,2440,1430,390,9730,0.3355,0.0207,-0.1469,1350,tax_agent,transport,2,0
74000,9600,1190,1840,340,12970,0.1753,-0.1368,0.016,1950,self,retail,2,0
67000,11890,1770,2600,2450,18710,0.2793,-0.0325,0.0135,5160,self,manufacturing,2,0
62800,17510,5160,1850,980,25500,0.4061,-0.0798,-0.0559,6660,self,real_estate,3,0
24800,1770,720,180,1060,3730,0.1504,0.0304,0.0526,240,tax_agent,hospitality,1,0
70300,14260,1740,2740,2720,21460,0.3053,0.1316,0.0444,6620,tax_agent,healthcare,0,0
79500,12830,60,3490,1380,17760,0.2234,-0.1562,-0.2677,3410,self,finance,1,0
106400,29070,9490,5920,550,45030,0.4232,0.0842,0.0124,12720,tax_agent,construction,1,0
93900,8890,2930,3260,3540,18620,0.1983,0.1823,-0.1319,8670,tax_agent,healthcare,1,0
140700,27280,8250,1600,4300,41430,0.2945,0.1666,0.0402,17630,tax_agent,transport,2,0
23400,8460,2520,1130,990,13100,0.5598,0.0773,-0.2687,2120,tax_agent,transport,1,0
63300,13600,2260,2640,2390,20890,0.33,0.0825,0.0076,5490,self,manufacturing,2,0
285500,36510,2390,11120,8740,58760,0.2058,0.1631,0.0842,15880,self,retail,0,0
129000,12170,2330,1910,4700,21110,0.1636,-0.0127,0.0398,8510,self,retail,2,0
32400,4010,50,1130,570,5760,0.1778,0.1928,0.0382,1410,tax_agent,finance,0,0
75600,10740,1110,3590,50,15490,0.2049,0.1561,0.0608,6570,self,healthcare,0,0
40500,6400,780,1490,1820,10490,0.259,0.1527,0.1536,1570,tax_agent,healthcare,0,0
56800,6610,1800,550,2520,11480,0.2021,0.1599,-0.0597,4730,tax_agent,finance,3,0
216300,48160,6790,7070,1090,63110,0.2918,0.0328,0.0258,30670,tax_agent,education,0,0
122000,22340,1780,6370,5400,35890,0.2942,-0.0357,-0.1453,12930,self,IT,0,0
31200,3740,1230,540,370,5880,0.1885,0.2387,-0.0406,860,tax_agent,retail,2,0
47300,4690,190,2710,260,7850,0.166,0.1278,0.036,3580,self,hospitality,0,0
72000,19650,11610,1760,1830,34850,0.484,0.1735,0.0181,9410,tax_agent,transport,0,1
62300,8040,310,3080,160,11590,0.186,-0.0341,-0.0603,4130,tax_agent,retail,1,0
85500,6400,1770,3050,3440,14660,0.1715,-0.0136,0.1349,2650,self,hospitality,0,0
47000,4990,1840,730,1290,8850,0.1883,-0.0472,-0.0383,1630,tax_agent,hospitality,0,0
58900,3590,1210,2530,2470,9800,0.1664,0.0018,0.104,1310,self,retail,1,0
46700,7990,1710,1320,1650,12670,0.2713,0.1086,-0.1253,5450,tax_agent,education,2,0
58800,23570,7570,4250,1780,37170,0.6321,0.1254,0.4641,11420,tax_agent,transport,0,1
106000,14060,1490,2630,4500,22680,0.214,0.065,-0.1507,6000,self,healthcare,1,0
84800,12740,2150,50,2760,17700,0.2087,0.0225,-0.0889,5110,tax_agent,healthcare,4,0
49000,8020,2270,2730,600,13620,0.278,-0.0831,0.026,2940,tax_agent,construction,3,0
134200,8470,1360,1660,6420,17910,0.1335,-0.015,0.3063,9950,tax_agent,hospitality,1,0
129200,31940,4890,3760,5110,45700,0.3537,-0.063,-0.2396,14220,tax_agent,IT,1,0
72000,12220,8480,870,3400,24970,0.3468,0.0812,-0.0248,9810,self,transport,0,0
62500,18430,1320,12470,2100,34320,0.5491,0.115,0.0721,12410,tax_agent,hospitality,0,1
189800,17690,3800,7100,3700,32290,0.1701,-0.0636,0.1466,19640,tax_agent,finance,3,0
174200,42440,3060,6320,4830,56650,0.3252,0.1536,0.0545,26000,tax_agent,IT,0,0
31300,4940,360,1380,760,7440,0.2377,0.109,0.0469,1260,tax_agent,healthcare,0,0
138900,12900,2170,1910,1300,18280,0.1316,-0.0117,0.019,11070,tax_agent,healthcare,0,0
185800,60980,5670,41630,940,109220,0.5878,0.0822,0.0783,53900,self,IT,2,1
103300,13080,1300,5290,960,20630,0.1997,0.2106,-0.0132,4730,self,finance,2,0
55700,15410,360,1230,1510,18510,0.3323,0.0232,-0.0546,5490,tax_agent,IT,0,0
59500,12450,8150,90,1840,22530,0.3787,0.1131,-0.1098,8480,self,transport,2,0
184500,51380,4530,6450,8930,71290,0.3864,0.162,0.1823,39730,self,IT,1,0
114000,22660,30380,3470,4520,61030,0.5354,-0.1235,0.1137,17440,tax_agent,IT,1,1
97300,18780,3160,3430,3660,29030,0.2984,0.2256,0.2641,10050,tax_agent,IT,4,0
259700,21930,7720,20,3600,33270,0.1281,-0.1537,0.1077,10700,tax_agent,retail,4,0
41400,11640,3730,1960,130,17460,0.4217,0.0418,-0.0081,4030,tax_agent,construction,1,0
68500,7620,1550,3950,2790,15910,0.2323,0.2702,-0.0625,4840,self,retail,1,0
79900,13580,850,130,70,14630,0.1831,-0.0333,0.0845,2520,tax_agent,healthcare,3,0
64100,4730,2170,1230,1310,9440,0.1473,0.0532,-0.0091,2710,tax_agent,retail,0,0
26200,2040,750,280,560,3630,0.1385,-0.0803,-0.0656,1040,self,hospitality,1,0
125100,25850,680,6870,5530,38930,0.3112,-0.0528,0.174,12890,tax_agent,education,1,0
47600,9100,3160,1320,790,14370,0.3019,0.2297,-0.0745,3770,tax_agent,construction,0,0
47200,10240,380,2120,1760,14500,0.3072,0.0325,0.0679,5570,tax_agent,education,0,0
59100,7810,210,3280,2950,14250,0.2411,0.1218,0.0353,5280,self,education,2,0
63400,10470,1560,1140,1280,14450,0.2279,-0.0538,0.3397,5650,self,IT,2,0
67300,8490,2210,3820,2780,17300,0.2571,0.1748,0.1161,5090,tax_agent,IT,1,0
122300,9790,4680,5270,4490,24230,0.1981,0.0314,-0.0891,12200,self,hospitality,1,0
136900,19030,1730,2530,2850,26140,0.1909,0.0354,-0.0521,12410,tax_agent,IT,0,0
62400,8150,240,1970,50,10410,0.1668,0.1143,0.237,3440,tax_agent,retail,1,0
51800,4140,190,360,1530,6220,0.1201,0.1011,-0.0431,2400,self,hospitality,4,0
67100,38930,560,440,360,40290,0.6004,0.163,0.6195,13790,tax_agent,healthcare,1,1
44000,14380,5360,810,300,20850,0.4739,0.0576,-0.1158,3550,tax_agent,construction,0,1
70900,24210,2720,1260,3290,31480,0.444,-0.0532,0.1169,12440,self,construction,0,0
42800,10040,4850,400,1820,17110,0.3998,0.018,-0.0113,2690,self,transport,1,0
232000,19700,8300,4560,4490,37050,0.1597,0.0023,-0.0287,7900,tax_agent,finance,0,0
77200,11890,2870,290,290,15340,0.1987,0.0894,0.0665,5470,self,healthcare,2,0
53600,4910,1990,1070,70,8040,0.15,0.3093,-0.0164,1220,tax_agent,finance,0,0
52354,7140,280,1750,440,9610,0.1836,0.0752,0.1878,3090,self,healthcare,0,1
36600,6940,2300,990,790,11020,0.3011,0.133,-0.0975,1580,self,transport,0,0
48700,7650,1640,2450,1320,13060,0.2682,0.1578,-0.0257,3690,tax_agent,finance,1,0
90900,12420,1240,4290,3550,21500,0.2365,0.0583,-0.128,8480,tax_agent,retail,1,0
77600,9370,1320,1270,1150,13110,0.1689,0.0788,0.2,4140,self,retail,1,0
128200,27770,4470,200,4860,37300,0.291,-0.1367,-0.0666,13370,self,IT,0,0
18000,6310,2250,1200,700,10460,0.5811,0.0854,0.5968,2040,tax_agent,retail,1,1
112900,31740,11650,5200,4730,53320,0.4723,0.057,0.1061,20520,tax_agent,construction,0,0
53400,9800,1640,2380,840,14660,0.2745,-0.0575,0.0955,3750,tax_agent,healthcare,2,0
37800,8420,1400,2010,650,12480,0.3302,0.1278,0.0478,2490,tax_agent,manufacturing,0,0
27900,8150,1980,820,940,11890,0.4262,0.1,0.091,2380,tax_agent,real_estate,0,0
53000,19020,6090,150,1210,26470,0.4994,0.0169,0.0834,8780,self,transport,1,0
172600,20380,3530,3530,8030,35470,0.2055,-0.0461,0.0722,15720,self,education,2,0
122700,19860,3420,2280,2160,27720,0.2259,0.2417,-0.2028,11220,self,manufacturing,0,0
176900,13760,6470,4090,3850,28170,0.1592,-0.0138,0.1236,5300,self,hospitality,0,0
67600,21770,8530,2110,120,32530,0.4812,-0.0509,0.0761,8450,self,transport,0,0
76400,10850,2860,1740,1380,16830,0.2203,0.1652,-0.1316,7050,tax_agent,finance,0,0
30200,5000,1010,70,460,6540,0.2166,0.0854,-0.0992,1200,tax_agent,education,0,0
30200,7390,3480,1150,1010,13030,0.4315,-0.0071,0.0876,2870,tax_agent,construction,1,0
66400,17030,4430,1720,2400,25580,0.3852,0.124,-0.1333,8830,self,real_estate,1,0
33800,4620,850,990,1400,7860,0.2325,0.0874,-0.0034,1490,self,finance,2,0
44900,7350,1680,1170,1240,11440,0.2548,0.0193,0.0206,3020,self,healthcare,0,0
73700,5630,1990,640,370,8630,0.1171,0.1354,-0.0883,1810,tax_agent,retail,1,0
145000,20260,5740,7430,0,33430,0.2306,-0.0682,0.1272,12340,self,IT,4,0
72400,11150,1790,2680,490,16110,0.2225,0.0622,0.0045,6910,self,healthcare,0,0
34100,2430,1090,1510,40,5070,0.1487,-0.0365,0.1118,490,self,hospitality,4,0
26400,8410,4420,2700,550,16080,0.6091,-0.0327,0.6125,2890,tax_agent,transport,1,1
76900,22660,3520,1530,590,28300,0.368,0.1659,0.0789,11490,tax_agent,transport,2,0
50900,4130,60,930,2400,7520,0.1477,-0.2032,0.0811,3550,tax_agent,retail,0,0
76700,20880,2800,860,3660,28200,0.3677,-0.1019,0.0684,9390,tax_agent,IT,0,0
64400,26960,5700,5720,410,38790,0.6023,0.2987,0.6833,13710,self,IT,1,1
69300,16680,2710,510,3120,23020,0.3322,0.121,-0.1703,7660,self,IT,0,0
139400,39150,8090,7720,3570,58530,0.4199,-0.0844,-0.091,21570,self,construction,2,0
128500,15590,1420,3580,4270,24860,0.1935,0.0124,-0.1335,7730,tax_agent,retail,2,0
88200,28370,5350,15360,4370,53450,0.606,0.0033,0.0439,18040,tax_agent,construction,2,1
44000,6490,580,540,250,7860,0.1786,0.1424,-0.1367,1440,self,finance,2,0
53200,6090,1400,1470,500,9460,0.1778,0.1716,-0.0715,1350,tax_agent,retail,1,0
109600,11450,2130,3720,920,18220,0.1662,0.1696,0.1436,7460,tax_agent,healthcare,0,0
147300,21660,3490,2470,6910,34530,0.2344,0.1269,-0.0977,18090,tax_agent,healthcare,1,0
35700,4350,460,2070,610,7490,0.2098,-0.0586,-0.0539,1110,self,IT,0,0
166800,15330,5240,5360,8070,34000,0.2038,0.0219,0.0448,7180,self,healthcare,0,0
46900,6600,2090,2210,1170,12070,0.2574,0.25,-0.0006,3730,self,real_estate,1,0
104000,33010,16220,6490,1210,56930,0.5474,0.0785,0.8366,15660,tax_agent,IT,2,1
336000,28000,11250,7330,680,47260,0.1407,0.0108,-0.1127,31650,tax_agent,retail,1,0
